what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1324434687421
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1324434693015
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1324434693046
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1324434705375
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1324434705453
started,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1324434705562
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1324434711218
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1324434714265
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1324435327437
started,bundle,org.eclipse.equinox.p2.ui,1.0.100.v20090527-1812,"org.eclipse.equinox.p2.ui",1324435339140
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1324435339140
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090604-1131,"org.eclipse.ecf.identity",1324435339296
started,bundle,org.eclipse.ecf,3.0.0.v20090604-1131,"org.eclipse.ecf",1324435339296
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.0.v20090604-1131,"org.eclipse.ecf.provider.filetransfer.httpclient",1324435339343
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.0.v20090604-1131,"org.eclipse.ecf.provider.filetransfer",1324435339343
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1324435339625
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1324435561453
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1324435561468
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1324435561796
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1324435567375
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1324435567562
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1324435567843
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.ide.ant",1324435568046
stopped,bundle,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui",1324435568046
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1324435568046
